update: {'val_acc': 0.7213114754098361, 'val_ep': 0} {'test_acc': 0.7564102564102564}
update: {'val_acc': 0.7377049180327869, 'val_ep': 1} {'test_acc': 0.7435897435897436}
update: {'val_acc': 0.7377049180327869, 'val_ep': 2} {'test_acc': 0.8205128205128205}
update: {'val_acc': 0.8032786885245902, 'val_ep': 4} {'test_acc': 0.782051282051282}
update: {'val_acc': 0.8032786885245902, 'val_ep': 20} {'test_acc': 0.8461538461538461}
update: {'val_acc': 0.8032786885245902, 'val_ep': 23} {'test_acc': 0.8333333333333334}
update: {'val_acc': 0.819672131147541, 'val_ep': 31} {'test_acc': 0.7948717948717948}
update: {'val_acc': 0.8360655737704918, 'val_ep': 35} {'test_acc': 0.8461538461538461}
update: {'val_acc': 0.8360655737704918, 'val_ep': 40} {'test_acc': 0.8461538461538461}
update: {'val_acc': 0.8360655737704918, 'val_ep': 43} {'test_acc': 0.8076923076923077}
{'test_acc': 0.8076923076923077}
